73	84	81
63	45	26
17	77	55
74	47	24
9	10	52
62	63	44
38	39	35
60	4	100
82	98	63
40	80	68
91	81	18
86	88	99
77	71	65
29	9	33
15	41	34
75	11	22
48	24	95
22	44	60
5	19	41
31	22	43
21	18	56
83	51	49
79	7	88
36	67	5
84	75	32
1	79	38
43	82	75
2	1	23
33	61	83
69	3	30
28	5	77
8	56	4
53	76	36
96	28	102
44	17	48
92	26	74
56	69	11
18	68	50
72	34	37
25	37	76
23	30	21
7	29	40
71	78	39
13	2	96
55	33	51
49	64	16
37	66	54
50	36	89
45	15	57
88	35	15
57	102	78
98	27	71
27	52	94
68	20	87
89	38	8
24	94	53
11	50	19
14	83	98
76	55	2
41	70	62
78	86	14
3	21	59
64	23	46
47	43	45
95	31	1
85	59	84
94	54	101
93	6	31
59	95	61
58	73	47
54	87	7
52	97	79
12	90	28
30	99	97
42	100	73
101	62	20
80	96	85
100	58	91
19	16	6
99	49	72
70	92	17
90	93	69
10	40	25
39	72	82
67	74	12
4	65	27
20	85	90
102	13	92
46	8	9
35	46	10
97	53	93
66	48	42
87	89	64
26	25	58
6	57	67
65	12	3
61	91	66
81	101	29
51	60	86
16	14	80
34	32	70
32	42	13
72	17	45
52	14	22
49	53	2
95	76	60
39	57	26
32	60	48
2	78	8
92	3	54
71	55	42
23	5	62
35	99	50
37	31	18
24	84	12
14	97	56
94	40	44
22	74	63
63	49	28
42	96	78
101	27	85
55	75	99
40	9	67
61	28	97
76	101	16
88	95	33
5	33	37
68	61	27
65	52	38
20	42	15
60	23	84
67	73	52
25	66	53
51	77	21
81	62	1
66	21	96
75	56	83
8	13	19
30	19	51
102	90	58
97	11	68
89	15	98
44	20	35
74	35	5
26	72	59
10	88	94
46	69	100
16	54	77
91	6	74
13	64	101
47	32	40
50	24	90
38	48	46
86	85	47
6	51	34
7	68	36
56	7	31
69	92	61
48	39	43
31	71	64
33	8	93
79	4	17
98	37	95
77	87	25
19	67	49
87	2	69
1	22	10
64	29	88
70	91	65
84	25	102
99	45	66
58	18	57
4	1	70
12	30	72
82	89	32
15	47	55
18	59	24
21	81	13
54	100	29
57	50	4
90	94	23
34	10	79
93	44	89
73	102	41
80	26	82
11	65	92
45	41	87
28	83	71
85	34	39
9	82	14
3	36	20
83	86	76
29	70	80
43	12	9
78	63	73
27	46	30
59	16	86
62	58	6
41	98	91
96	93	11
53	43	81
36	79	75
17	38	3
100	80	7
